season,week,celebrity_name,fan_votes_mean,fan_votes_std,fan_votes_ci_lower,fan_votes_ci_upper,fan_votes_median
1,2,John O'Hurley,6045.799626838108,579.803133068503,4996.2548608264415,7150.399296426563,6017.545051256517
1,2,Kelly Monaco,3012.0784298522785,289.3395517644252,2418.291519109854,3589.65311941169,3017.7892533783647
1,2,Evander Holyfield,4013.7253055313313,391.4836902720618,3305.0831262644406,4836.8512636926935,4007.1263072466463
1,2,Rachel Hunter,5023.7171906856365,519.179835417676,4048.497065499331,6034.01254049828,5024.953532590114
1,2,Joey McIntyre,5013.238010680099,498.88758855287256,4031.227923551372,5902.411459007027,5012.727580574092
1,2,Trista Sutter,2010.5045526793929,207.31969150447622,1637.0322118617314,2408.8373006471984,2001.0492433942939
1,3,John O'Hurley,5015.068007464641,521.42467484322,3981.858760179775,5998.867226079732,5015.520583709207
1,3,Kelly Monaco,3001.3278168612164,292.4760083417592,2399.1622155004784,3511.225931868474,3015.9385169549296
1,3,Evander Holyfield,1998.204269873012,202.34423663253443,1609.489728395566,2376.090435226233,2003.1110844397945
1,3,Rachel Hunter,5006.790600017485,501.53992880775826,4076.059905943189,6086.073431351952,5006.625404752197
1,3,Joey McIntyre,3996.941939259306,391.4927757298229,3252.733334745774,4774.615589275837,4011.3874451885613
1,4,John O'Hurley,3000.491381104377,300.02319267163347,2393.45906504796,3600.1022180935756,3011.7333748143506
1,4,Kelly Monaco,4004.3104248538175,401.42633215763516,3198.3729896827695,4746.013531928502,4010.3033721483853
1,4,Rachel Hunter,1997.7571335865446,207.69438144436157,1582.3355010233665,2422.8738286681196,1987.2617639481373
1,4,Joey McIntyre,4016.970036875857,393.52448411960694,3268.067332509184,4748.435774214185,4026.91646561979
1,5,John O'Hurley,3033.2221261938307,302.8866642867487,2420.0600102267,3688.876812536739,3037.977449368522
1,5,Kelly Monaco,2985.213653478118,294.99308719078977,2405.9152748321253,3555.1224391347064,2994.797069144885
1,5,Joey McIntyre,1988.9665674618577,205.72388210499818,1622.4277728428447,2364.919831492474,1987.3469889161133
1,6,John O'Hurley,2006.0186190527347,193.7132315807636,1651.0143652878592,2402.18374113902,2002.3536751034374
1,6,Kelly Monaco,2003.8039132609954,203.52143572274503,1598.7478603904326,2415.3055860966724,1997.075333804072
